TITLE,"Catullus, Carmina",LOCALDEF
MICO,"61_207, 64_206","quiver, dart, flicker; flash, glitter, gleam"
MIDAS/N,24_4,"legendary king of Phrygia, possesor of the golden touch"
MIGRO,27_7,"move, migrate"
MILES,68_86,soldier
MILLE,"5_7, 5_8, 5_9, 5_10, 9_2, 16_12, 22_4, 26_4, 41_2, 48_3, 61_210, 66_78, 68_46, 95_3, 113_3",a thousand
MILLIES,35_8,1000 times
MIMICE,42_8,"in a manner of a mima, an actress in a licentious kind of farce"
MINAX,"4_6, 63_84, 115_8","menacing, threatening"
MINGO,"39_18, 67_30",urinate
MINISTER/1,27_1,"servant, attendant, acolyte"
MINISTRA,63_68,"handmaid, temple attendant"
MINOIS/N,"64_60, 64_247","a female descendant of Minos, Ariadne"
MINOS/N,64_85,"Minos, legendary king of Crete, husband of Pasiphaë, father of Ariadne and Phaedra"
MINOTAVRVS/N,64_79,"the Minotaur, son of Pasiphaë"
MINVTVS/2,25_12,small
MIRIFICE,"53_2, 71_4, 84_3","amazingly, remarkably"
MIROR,22_17,"be amazed, wonder, marvel"
MIRVS,"23_7, 57_3, 62_14, 64_51, 67_29, 68_145, 69_7","extraordinary, remarkable"
MISCEO,"64_95, 68_18","mix, combine"
MISELLVS,"3_16, 35_14, 40_1, 45_21, 80_7",poor little; wretchedly in love (dim. of miser)
MISER,"8_1, 8_10, 15_17, 30_5, 50_9, 51_5, 61_139, 61_139, 63_51, 63_61, 63_61, 64_57, 64_71, 64_119, 64_140, 64_196, 65_21, 67_24, 68_14, 68_20, 68_30, 68_92, 68_93, 76_12, 76_19, 77_4, 91_2, 99_11, 99_15, 101_2, 101_6","wretched, unhappy"
MISERABILIS,68_91,"pitiable, pathetic"
MISERE,64_94,"wretchedly, with piteous result, unhappily"
MISEREO,30_2,"impers., feel sorry for; dep., have pity"
MISEREOR,76_17,"impers., feel sorry for; dep., have pity"
MISERESCO,64_138,"w/ gen., have compassion on"
MISERITER,63_49,"pitifully, in a manner that indicates pity"
MITIS,62_50,sweet and juicy; succulent; soft
MITRA,"64_63, 64_68",an oriental headdress tied under the chin with ribbons
MITTO,"12_15, 14_7, 14_14, 17_23, 61_181, 64_166, 64_221, 64_380, 65_15, 65_19, 66_29, 68_2, 84_7, 95_5, 96_4, 116_2, 116_4","send, send forth; (of weapons) throw, cast, hurl; emit, utter; cease, desist, omit; let go, release, abandon, discard; give"
MNEMOSYNON,12_13,"keepsake, souvenir"
MODO/1,"1_2, 3_9, 3_9, 10_28, 15_7, 15_7, 21_2, 22_12, 24_2, 50_5, 50_5, 53_1, 56_5, 73_6","just, only"
MODVS,"42_22, 61_38, 61_123, 99_12","measure, quantity; manner, way"
MOECHA,"42_3, 42_11, 42_12, 42_19, 42_20, 68_103",adulteress; slut
MOECHOR,"94_1, 94_1",commit adultery
MOECHVS,"11_17, 37_16","adulterer, sexual aggressor; fornicator"
MOENIA,"35_4, 64_36, 64_80, 64_212, 64_345",town walls
MOLESTVS,"42_8, 10_33, 51_13, 55_1, 68_137","troublesome, annoying"
MOLLESCO,64_38,become soft
MOLLICVLVS,"25_10, 16_4, 16_8","somewhat voluptuous, unmanly, or erotic (dim. of mollis)"
MOLLIS,"11_5, 25_1, 45_16, 63_38, 63_44, 64_88, 64_129, 64_293, 64_311, 64_318, 65_21, 67_33, 68_5, 68_70, 80_4","soft, mild, languid, voluptuous"
MONEO,39_9,warn
MONS,"34_9, 60_1, 64_126, 64_178, 64_240, 64_281, 64_300, 66_43, 68_57, 68_111, 105_1",mountain
MONSTRO,78_6,show; teach
MONSTRVM,"64_15, 64_101, 68_113, 104_4","portent, prodigy, apparition; monster; a monstrous act, attrocity"
MONVMENTVM,"11_10, 95_9","anything that serves as a commemoration, reminder, or memorial"
MORA,63_19,delay
MORBOSVS,57_6,"unhealthy, disease–ridden; morbidly lustful"
MORBVS,"39_7, 76_25",disease
MORDEO,"8_18, 64_316, 68_127",bite
MORIBVNDVS,81_3,"dying, moribund: decaying"
MORIOR,"3_3, 68_21, 95_7",die
MOROR/1,"35_10, 52_1, 52_4, 61_94","delay, stay, wait"
MORS,"64_102, 64_188, 64_247, 64_362, 65_12, 68_4, 68_19, 76_18, 96_5, 101_3",death
MORSVS,2_4,bite
MORTALIS/2,"64_17, 64_168, 64_385","a mortal, human being"
MORTVVS/2,"64_153, 68_48",dead
MOS,"9_8, 68_137, 101_7, 108_2","custom; manner, (pl.) morals"
MOTVS,"64_205, 64_305","motion, movement"
MOVEO,"3_8, 12_12, 15_11, 16_11, 42_21, 61_161",move
MVCVS,23_17,"mucus, snot"
MVGILIS,15_19,"a sea fish, the gray mullet (used in punishing adulterers)"
MVGIO,63_82,"low, moo, bellow, roar"
MVLA,"17_26, 97_8",a she mule
MVLCEO,62_41,caress
MVLIER,"63_27, 63_63, 68_128, 70_1, 70_3, 87_1",woman
MVLIERARIVS/2,25_5,"belonging to a woman, sent by a woman"
MVLTA/1,64_190,penalty
MVLTIPLEX,"64_250, 64_304",having many twists and turns; varied
MVLTIVOLVS,68_128,"promiscuous, lusting after many, amorous "
MVLTO/1,64_192,penalize
MVLTO/2,"45_15, 68_126, 72_6, 82_3, 83_5","by much, greatly"
MVLTVM/2,"1_10, 3_5, 14_1, 45_5, 50_2, 58_3, 101_9, 110_7",adj. & more
MVLTVS,"64_263, 66_9, 86_1, 5_10, 7_7, 7_9, 8_6, 14_6, 16_12, 22_3, 22_4, 28_14, 58_b_9, 61_210, 62_42, 62_42, 62_55, 62_55, 64_112, 64_116, 64_223, 66_19, 66_78, 68_17, 68_36, 68_45, 68_115, 68_140, 68_150, 68_153, 76_5, 83_1, 91_7, 97_9, 99_7, 101_1, 101_1, 112_1, 112_1, 112_2","much; a lot of, many a; (pl.) many"
MVLVS,83_3,"mule; metaph., a stupid person"
MVNDITIES,23_18,cleanliness
MVNDVS/1,"47_2, 64_206, 66_1","heavens, sky, firmament; world, earth"
MVNDVS/2,"23_18, 97_3, 97_4",comp. mundior: clean
MVNICEPS,17_8,citizen of a municipium; townsman
MVNVS,"12_15, 14_2, 14_9, 17_7, 61_43, 61_234, 65_19, 66_38, 66_82, 66_92, 68_10, 68_32, 68_149, 68_154, 69_3, 101_3, 101_8","function, duty, task; gift; favor"
MVNVSCVLVM,"64_103, 68_145",a small gift or favor
MVRVS,68_86,city wall
MVSA/N,"35_17, 65_3, 68_7, 68_10, 105_2","a muse, divine patroness of poetry"
MVSCOSVS,68_58,mossy
MVTO/2,"12_8, 22_11, 42_22, 62_35, 66_31, 67_7, 99_13","change; in pass., w/ acc. of thing received in exchange & abl. of price paid, buy; exchange, take in exchange"
MVTVS,"64_186, 96_1, 101_4","inarticulate, mute, dumb, silent"
MVTVVS,"45_20, 50_6","felt or shared by each of two in relation to each other, mutual, reciprocal; neut. pl. with adv. force, reciprocally, in equal measure"
MYRTVS,"61_22, 64_89","the myrtle tree, a bushy shrub with oval leaves and fragrant white or rosy flowers, common to southern Europe"
NAM,"3_6, 3_15, 4_11, 6_6, 6_12, 10_26, 12_14, 13_7, 13_11, 14_4, 14_17, 16_5, 21_5, 21_7, 23_7, 23_27, 28_12, 32_10, 33_3, 35_5, 35_13, 36_3, 37_11, 39_16, 44_2, 44_10, 51_6, 64_76, 64_105, 64_177, 64_280, 64_301, 64_366, 68_33, 68_51, 68_87, 68_119, 69_7, 71_5, 74_5, 76_7, 78_3, 78_b_3, 86_3, 88_7, 90_3, 97_5, 99_7, 100_5, 117_3","explanatory particle, for; as encl., for lively or impatient emphasis, indicating the point of a line of questioning"
NAMQVE,"1_3, 37_9, 61_16, 62_33, 64_52, 64_212, 64_288, 64_353, 64_384, 65_5, 66_65, 66_72, 66_86, 99_3","explanatory conj., for"
NANCISCOR,71_4,"acquire, get; contract (a disease)"
NARRO,"9_7, 43_6, 67_29, 67_35","give an account, tell; say"
NASCOR,"10_15, 62_39, 62_49, 64_22, 64_198, 64_338, 68_158, 90_1",to be born; originate
NASO/N,"112_1, 112_2",Roman cognomen in poem 112
NASVS,"13_14, 23_17, 41_3, 43_1, 69_9",nose
NATA,"62_21, 62_22, 64_119, 68_120",daughter
NATIO/1,9_7,"people, race, nation"
NATIS,33_7,buttock
NATO,4_3,swim; float
NATVS/1,"64_213, 64_215, 64_216, 64_220, 64_298, 64_324, 64_349, 64_400, 64_401, 64_403, 67_5, 67_23, 67_26, 67_30, 72_4, 90_3, 90_5",son
NAVFRAGVS/2,68_3,a shipwrecked person
NAVIS,"4_2, 25_13, 64_84",ship
NAVTA,"64_174, 68_63",sailor
NE/2,"9_3, 28_4, 29_11, 29_23, 43_6, 61_77, 61_98, 62_8, 63_58, 64_28, 64_29, 64_136, 64_178, 64_180, 64_183, 66_15, 68_91, 81_1","interr. particle suffix, introducing a question and attached to the emphatic word"
NE/4,"61_126, 61_200, 62_59, 64_171, 67_18, 5_11, 5_12, 17_4, 21_13, 25_10, 32_5, 50_20, 61_88, 61_152, 61_153, 64_114, 65_17, 66_59, 67_46, 68_11, 68_14, 68_43, 68_103, 68_137, 68_151, 74_3, 99_9","neg. adv. & conj., introducing prohibitions, clauses of purpose, etc.: do not, let not, lest, in order that not, etc."
NEBVLA,30_10,"mist, cloud"
NEC/2,"3_8, 6_3, 6_14, 7_11, 7_12, 8_7, 8_10, 8_10, 8_13, 8_13, 10_10, 10_10, 10_13, 10_21, 11_21, 17_12, 17_17, 17_18, 21_5, 22_5, 23_2, 23_7, 23_20, 23_25, 24_10, 26_3, 30_4, 41_7, 43_1, 43_2, 43_2, 43_3, 43_3, 43_4, 44_18, 48_4, 50_9, 50_10, 57_3, 57_5, 61_67, 61_128, 62_14, 62_29, 62_47, 62_47, 64_83, 64_166, 64_166, 64_168, 64_173, 64_175, 64_185, 64_189, 64_210, 64_222, 64_232, 64_302, 64_379, 64_407, 64_408, 65_3, 66_73, 67_11, 67_17, 67_39, 67_44, 67_44, 68_7, 68_49, 68_98, 68_116, 68_119, 68_125, 68_141, 68_143, 69_8, 72_2, 73_5, 75_3, 75_4, 76_3, 76_3, 78_5, 84_9, 88_6, 91_5, 92_1, 93_2, 99_5, 104_3, 110_4, 116_6"," = neque, and not"
NECDVM/1,64_55,"conj., and not yet, but not yet"
NECESSE,"12_16, 16_6, 61_85, 62_61","essential, necessary"
NEFANDVS,"64_397, 64_405, 90_1","unspeakable; wicked, unlawful, impious"
NEFARIVS,44_18,"wicked, horrible"
NEFAS,68_89,"sacrilege; wicked act, crime, horror"
NEGLIGENS,"10_34, 12_3",careless
NEGLIGO,"30_5, 61_199, 64_134","regard as of no consequence, be indifferent to, disregard, ignore, fail to respect"
NEGO,"2_b_3, 3_12, 4_6, 4_7, 42_4, 55_14, 61_128, 61_152, 86_3","deny, refuse, say that… not"
NEMESIS/N,50_20,Greek goddess of retribution
NEMO,"64_38, 67_17, 73_5, 81_1","nobody, no one"
NEMORIVAGVS,63_72,forest wandering
NEMVS,"63_2, 63_12, 63_20, 63_32, 63_52, 63_58, 63_79, 63_89","a wood, forest"
NEPOS/1,"49_1, 58_5, 64_380, 68_120, 64_29","grandson, descendant"
NEPTVNIVS/A,"64_28, 64_367",of or belonging to Neptune
NEPTVNVS/N,"31_3, 64_2","Neptune or Poseidon, god of the sea; the sea"
NEQVE,"4_3, 4_22, 10_4, 10_9, 10_21, 22_15, 22_16, 22_18, 23_1, 23_1, 23_2, 23_2, 24_5, 24_5, 24_8, 24_8, 24_10, 26_2, 36_17, 39_8, 39_8, 61_198, 64_68, 64_68, 64_153, 68_5, 68_55, 69_7, 91_5, 112_1","conj., adv. and not"
NEQVEO,"4_4, 16_11, 68_32",to be unable (to)
NEQVIQVAM,"6_7, 64_111, 64_164, 65_17, 77_1, 101_4, 114_4","to no purpose, in vain"
NEREIS/N,64_15,"a Nereid, sea nymph born of Nereus and Doris"
NERVOSVS,67_27,"full of muscles, sinewy; vigorous"
NESCIO,"17_22, 81_6, 85_2",not to know
NESCIOQVIS,"2_6, 6_4, 53_1, 80_5","indef. pron. or adj., someone, something (N. B.: The personal ending of nescio scans as a short syllable.)"
NESCIVS,68_17,"ignorant, unaware"
NEVE/1,"32_6, 68_12, 116_3",and that…not
NICAEA/N,46_5,"a city in Bithynia, mod. Iznik"
NIGER,"17_16, 43_2, 68_63","dark, black"
NIHIL,"6_12, 6_12, 10_9, 15_6, 16_6, 17_21, 17_21, 23_8, 30_2, 42_21, 42_21, 51_7, 61_61, 64_146, 64_146, 64_148, 64_148, 68_77, 68_131, 73_3, 83_3, 88_7, 89_5, 93_1","indecl. n., nothing; w/ adv. force, an emphatic form of non; not at all"
NIHILVM,"28_12, 61_197, 97_3, 97_3","nothing; abl. w/ adv. Force, an emphatic form of non: not at all"
NILVS/N,11_8,the Nile River in Egypt
NIMIRVM,"22_18, 62_7","part., no wonder, doubtless"
NIMIS,"43_4, 56_4, 60_5, 63_80, 64_22, 64_169",too much; very much
NIMIVM/2,"51_14, 68_137, 93_1","too much, very much"
NIMIVS,"63_17, 63_36",excessive
NISI,"6_2, 14_1, 45_3, 29_2, 29_22, 89_5, 92_2, 92_4, 106_2","unless, except if"
NITENS,"2_5, 61_193","shining, radiant"
NITOR/1,66_3,"brightness, brilliance"
NITOR/2,"61_68, 64_84, 64_177","lean; press onward; rely, depend"
NIVEVS,"58_b_4, 61_9, 63_8, 64_240, 64_303, 64_309, 64_364, 68_125","snowy, white"
NIX,"63_53, 63_70, 80_2",snow
NO,"64_2, 64_275, 66_46","swim; float, sail"
NOBILIS/2,"4_8, 28_13","well–known, famous, illustrious"
NOCTIFER/N,62_7,the night bringer or evening star
NOCTVRNVS,66_13,"of the night, night time"
NOLO,"8_7, 8_9, 23_25, 39_15, 62_64, 64_199, 67_45, 68_37, 69_1, 82_3","be unwilling, not to wish"
NOMEN,"29_11, 29_23, 34_22, 61_214, 62_35, 67_43, 67_46, 68_50, 68_122, 68_151","name; a reason, pretext, or purpose"
NON,"6_6, 6_13, 8_9, 10_4, 10_18, 10_20, 10_34, 11_16, 12_2, 12_6, 12_12, 13_4, 14_10, 14_11, 14_16, 14_16, 14_b_3, 15_6, 16_10, 17_22, 21_2, 22_19, 22_21, 23_9, 23_9, 23_10, 23_10, 23_11, 23_15, 23_23, 24_2, 24_7, 26_1, 30_3, 33_5, 33_8, 36_17, 37_7, 40_3, 41_7, 42_13, 42_15, 42_16, 44_2, 44_8, 44_17, 44_20, 48_5, 54_4, 55_1, 57_8, 58_b_1, 58_b_2, 58_b_3, 58_b_4, 61_72, 61_86, 61_101, 61_148, 61_176, 61_201, 61_205, 61_212, 62_9, 62_11, 62_13, 62_60, 62_62, 63_62, 64_20, 64_39, 64_40, 64_41, 64_63, 64_64, 64_65, 64_91, 64_103, 64_139, 64_140, 64_158, 64_188, 64_221, 64_288, 64_290, 64_343, 64_376, 64_404, 66_18, 66_21, 66_28, 66_32, 66_34, 66_72, 66_75, 66_80, 66_91, 67_9, 67_13, 67_15, 67_20, 67_31, 68_17, 68_30, 68_32, 68_33, 68_38, 68_39, 68_41, 68_85, 68_97, 68_135, 69_3, 70_2, 72_3, 74_6, 76_16, 76_23, 76_24, 78_b_3, 83_5, 84_12, 88_3, 88_5, 88_8, 89_5, 91_1, 91_8, 96_5, 97_1, 97_10, 97_11, 99_3, 99_12, 104_3, 108_3, 110_5, 114_1, 115_3, 115_8",not
NONDVM,"64_219, 64_386, 68_75",not yet
NONIVS/N,52_2,Roman official attacked in poem 52
NOS,"5_5, 6_16, 8_5, 10_5, 14_b_3, 32_7, 50_4, 55_15, 62_11, 62_15, 62_32, 63_26, 64_138, 64_406, 66_61, 67_7, 67_18, 67_18, 67_19, 68_17, 68_37, 68_66, 68_68, 68_147, 68_157, 81_5, 83_3, 98_5, 100_5, 107_3, 107_6, 109_2, 109_5, 116_3, 116_7",we us
NOSCITO,61_223,recognize (freq. of nosco) 
NOSCO,"3_6, 22_1, 67_37, 68_140, 72_1, 78_b_4",know
NOSTER,"13_6, 15_16, 26_1, 29_13, 31_9, 43_7, 44_1, 48_6, 50_18, 58_1, 64_158, 64_170, 64_176, 64_199, 64_226, 64_226, 64_229, 64_233, 65_8, 68_22, 68_23, 68_91, 68_94, 68_95, 68_132, 77_4, 77_5, 77_6, 91_2, 96_2, 99_9, 109_2, 116_6, 116_8",our
NOTA,"68_28, 107_6","mark; quality, character"
NOTESCO,68_48,become known or famous
NOTHVS,"34_15, 63_27","illegitimate; spurious, counterfeit"
NOTO,"68_148, 80_8","mark, stain"
NOTVS/2,"79_4, 33_7, 40_6, 64_339, 68_97, 102_2","well–known, familiar, notable, famous, esteemed; notorious, of ill–repute"
NOVEM,"37_2, 95_1, 95_2, 32_8",ninth
NOVERCA,"23_3, 64_402",stepmother
NOVVMCOMVM/N,35_3,town in Cisalpine Gaul (mod. Como)
NOVVS,"1_1, 4_24, 14_8, 22_6, 22_7, 60_4, 61_32, 61_54, 61_95, 61_96, 61_100, 61_110, 61_120, 63_75, 66_11, 66_15, 66_20, 66_38, 66_45, 66_64, 68_81","latest, last"
NOX,"62_34, 66_69, 5_6, 6_6, 7_7, 51_12, 61_118, 63_41, 68_44, 68_83, 68_145",night
NVBES,64_239,cloud
NVBO,"17_14, 61_20, 70_1",get married
NVDO,"64_17, 64_64, 64_129, 66_81","make naked, denude, bare"
NVDVS,"55_11, 62_49","bare, naked"
NVGAE,1_4,"trifles, things of no consequence"
NVLLVS,"8_5, 8_14, 10_21, 11_19, 17_20, 37_12, 39_16, 61_66, 62_40, 62_44, 62_44, 62_53, 62_53, 64_136, 64_137, 64_143, 64_144, 64_165, 64_184, 64_186, 64_186, 64_322, 64_334, 64_335, 66_86, 69_1, 70_1, 76_3, 86_3, 86_4, 87_1, 87_3","adj. & subst., not one, no, none; with adverbial force, not at all"
NVM,"55_17, 60_1","interrogative particle, introducing questions where a negative answer is expected"
NVMEN,"64_134, 64_204, 76_4",a nod; divine power
NVMERO/1,61_209,count
NVMERVS,"7_3, 50_5, 61_208","number; verse, meter"
NVMQVAM,"48_4, 62_50, 62_50, 65_9, 65_10, 67_22, 67_38, 99_16",never
NVMVS,103_3,a coin; (pl.) cash
NVNC,"3_11, 3_17, 4_25, 8_9, 8_16, 8_17, 17_23, 21_10, 25_9, 29_6, 29_20, 30_9, 35_11, 36_11, 39_17, 45_19, 50_18, 58_4, 61_138, 62_17, 63_68, 64_143, 66_79, 67_9, 68_97, 72_5, 74_6, 78_b_1, 81_5, 83_4, 101_7, 113_2, 116_5",now
NVNTIO,"11_15, 35_11","announce, communicate, tell"
NVNTIVM,63_75,"message, communication"
NVNTIVS/1,"9_5, 84_10","messenger; message, pl. news"
NVPER,"64_217, 65_5",recently
NVPTA,"61_95, 61_96, 61_100, 61_110, 61_120, 61_151, 64_374, 66_15, 66_78, 66_87, 111_2",wife
NVPTIALIS,61_12,of or pertaining to marriage or a wedding
NVTO,"64_290, 66_53","nod, sway; beat rhythymically"
NVTRIO,61_25,"feed, nourish, nurture"
NVTRIX,"64_18, 64_376",nurse; breast
NVX,"61_128, 61_131, 61_133, 61_135, 61_140",nut
NYMPHA,"61_29, 64_17, 88_6",a semidivine female nature spirit
NYSIGENA/N,64_252,"born on Mt.  Nysa, birthplace of Bacchus / Dionysus"
O,"1_9, 3_1, 3_16, 3_16, 9_5, 9_10, 17_1, 24_1, 26_5, 28_9, 29_23, 31_7, 31_12, 31_13, 33_1, 34_5, 36_11, 42_13, 43_8, 44_1, 46_9, 56_1, 61_1, 61_4, 61_5, 61_39, 61_40, 61_49, 61_50, 61_59, 61_60, 61_111, 61_121, 62_5, 62_5, 62_10, 62_10, 62_19, 62_19, 62_25, 62_25, 62_31, 62_31, 62_38, 62_38, 62_48, 62_48, 62_58_b, 62_58_b, 62_66, 62_66, 63_50, 63_50, 64_22, 64_23, 64_323, 66_39, 66_87, 67_1, 68_20, 76_17, 76_26, 88_5, 107_6","interjection, expressing grief, pleasure, indignation, or adjuration"
OARION/N,66_94,the constellation Orion
OBDVRO,"8_11, 8_12, 8_19",be persistent or obdurate
OBEO/1,63_62,"meet, go into, take on"
OBESVS,39_11,fat
OBITVS,66_2,approach; death; setting (of a heavenly body)
OBIVRGO,74_1,"rebuke, scold"
OBLECTO,68_8,delight
OBLITTERO,64_232,"cause to be forgottend, wipe out"
OBLIVISCOR,"30_11, 64_208, 65_21, 66_27, 68_43, 83_3","forget, w/ gen. or acc. of object forgotten"
OBLOQVOR,83_4,interrupt
OBSCENVS,68_99,"unpropitious, ill–omened; loathsome; indecent"
OBSCVRO,"64_227, 66_3",darken
OBSCVRVS,64_259,"dark; unknown, secret"
OBSERO/1,"32_5, 55_21","place a bar across (a door), bolt"
OBSIDO,64_345,"beseige, beset"
OBSTINATVS,8_11,"stubborn, obstinate, resolute"
OBSTO,71_1,"face; obstruct, hinder, impede (w/ dat.) "
OBSVM/1,73_4,"be a hindrance, nuisance, disadvantage"
OBTERO,65_8,crush
OBTINGO,107_1,"occur, fall to one's lot"
OBVIVS,"45_7, 64_109",in the way or path of something
OCCASVS,66_67,opportunity; setting (of a heavenly body)
OCCIDENS,29_12,"the region where the sun sets, the west"
OCCIDO/1,"5_4, 5_5",fall; (of heavenly bodies) set
OCCVPATVS,15_8,"grasp; occupy; engross, preoccupy"
OCEANVS/1,"61_89, 64_30, 66_68, 88_6, 115_6","Ocean, god of the sea, husband of Tethys"
OCELLVS,"3_18, 31_2, 43_2, 45_11, 50_10, 50_19, 64_60","eye; as term of endearment, darling (dim. of oculus)"
OCTO,"80_3, 10_20","indecl. adj., eight"
OCVLVS,"3_5, 9_9, 14_1, 48_1, 63_37, 63_39, 63_48, 64_17, 65_8, 82_1, 82_2, 82_4, 82_4, 104_2, 108_5",eye
ODI,"14_3, 68_12, 85_1","hate; repudiate, have no patience for"
ODIVM,"14_3, 63_17, 66_15",hatred
ODOR,"64_87, 64_284, 68_144, 71_6","smell, odor, fragrance"
OETAEVS/N,"62_7, 68_54","of Mt. Oeta in southern Thessaly, traditionally associated with the evening star and the hot springs of Thermopylae"
OFFERO,"64_248, 66_54","put in one's path; provide, offer; cause"
OFFICIVM,"68_12, 68_42, 68_150, 75_2, 110_7","fulfillment of an obligation; service, duty; function, action"
OFFIRMO,76_11,make firm; get tough
OLEO,61_7,having a smell; aromatic
OLEVM,63_64,"olive oil; by metonymy, wrestling, wrestling place"
OLFACIO,"13_13, 97_2",smell
OLIM,"64_76, 64_212, 67_4, 67_47, 68_153, 96_4","formerly, once, once upon a time"
OLIVA,34_8,olive; olive tree
OLIVVM,6_8,olive oil
OLVS,94_2,vegetable
OLYMPVS/N,62_1,"Greek mountain on borders of Thessaly and Macedonia, legendary home of the gods; by metonymy, the sky, the heavens"
OMEN,61_166,something that foreshadows an outcome or event
OMENTVM,90_6,the fatty membrane covering the intestines; peritoneum
OMNINO,"98_5, 98_6","absolutely, altogether"
OMNIPOTENS,64_171,all–powerful
OMNIS,"1_6, 3_14, 5_3, 9_1, 11_13, 11_19, 13_5, 14_19, 17_20, 21_6, 22_8, 22_18, 23_7, 29_7, 29_24, 30_8, 30_9, 37_15, 37_16, 37_17, 42_2, 42_2, 45_4, 49_5, 49_6, 49_7, 51_5, 54_4, 55_4, 55_7, 55_19, 58_3, 58_b_8, 61_111, 61_163, 61_163, 61_223, 63_54, 63_90, 63_92, 64_66, 64_120, 64_186, 64_187, 64_187, 64_398, 64_405, 66_1, 66_48, 66_77, 67_14, 68_23, 68_26, 68_90, 68_95, 68_158, 68_159, 69_7, 73_3, 75_4, 76_9, 76_22, 77_4, 78_b_3, 84_7, 86_6, 86_6, 89_3, 91_9, 98_5, 99_8, 99_12, 104_4, 114_3, 114_5, 115_7","adj., all, whole, entire"
OMNIVOLVS,68_140,"that desires all, all–desiring"
ONVS,"31_8, 63_33, 68_142","burden, load"
ONYX,"66_82, 66_83",a perfume jar of onyx
OPACVS,"37_19, 63_3, 63_32",dark
OPERIO,"63_37, 67_40","shut, close; cover"
OPORTET,"70_4, 90_3","it is proper, right; it ought, should"
OPPIDO,54_1,"utterly, altogether"
OPPLEO,64_33,fill up
OPPOSITVS/2,26_2,"situated in front of; opposite, facing; pledged, pawned, mortgaged"
OPPRIMO,68_1,press against; overwhelm
OPPROBRIVM,28_15,"shame, disgrace"
OPS,"34_24, 67_2, 76_18",power; wealth; help
OPS/N,64_324,"a Roman goddess, wife of Saturn, mother of love"
OPTATVS,"62_30, 64_22, 64_31, 64_141, 64_372, 66_79",wished for
OPTO,"40_6, 62_42, 62_44, 64_5, 64_82, 64_328, 64_401, 76_25, 107_1, 107_8","wish, choose, desire"
OPVLENTVS,64_43,"wealthy, opulent"
OPVS/1,"3_17, 64_315, 68_50",that which needs to be done; work
OPVS/2,4_5,"need, necessity, w. abl. of the thing needed"
ORA,"33_5, 64_281, 64_308, 66_43, 117_3, 117_4","edge, border; region, district, land"
ORACVLVM,"7_5, 64_326",oracle
ORATIO,44_11,speech
ORATOR,39_3,"public speaker, courtroom advocate"
ORBIS,64_30,disk; sphere
ORBVS,"39_5, 66_21","bereaved, desitute"
ORCVS/N,3_14,"Dis, god of the underworld; the underworld"
ORGIA,"64_259, 64_260","secret rites, mysteries"
ORIGO,4_15,"origin, beginning"
ORIOR,"63_67, 64_376",rise
ORO,"50_19, 55_1","pary, beseech, supplicate"
ORTVS,66_2,rising (of a heavenly body)
OS/1,"9_9, 40_5, 42_9, 42_17, 43_3, 45_12, 55_18, 61_139, 61_193, 61_225, 63_39, 64_131, 65_24, 97_2, 97_5, 99_9","mouth; face, countenance"
OSCITO,25_5,yawn
OSCVLATIO,48_6,the action of kissing
OSCVLVM,68_127,kiss
OSTENDO,"25_5, 62_7, 64_211, 64_385","show, display; reveal"
OSTENTO,64_187,"freq. of ostendo, exhibit, display conspicuously"
OSTIVM,61_231,door
OSTREOSVS,117_4,abounding in oysters
OTHO/N,54_1,Roman cognomen
OTIOSVS,"10_2, 50_1","full of otium, at leisure, idle"
OTIVM,"44_15, 51_13, 51_14, 51_15, 68_104","unoccupied spare time, leisure, rest, idleness"
PACATVS,68_104,"peaceful, calm, tranquil"
PACIFICO,68_76,"placate, appease"
PADVA/N,95_7,one of the mouths of the Padus (Po) River
PAEDICO/2,"16_1, 16_14, 21_4","sodomize, bugger, or inflict anal sex upon a person (sts. as a way of humiliating him)"
PAENE,31_1,"almost; adj. w/ insula, penninsula"
PAENITEO,"30_12, 63_73",cause dissatisfaction or regret (impers. const. w/ acc. of person affected & gen. of cause)
PALAESTRA,63_60,"a wrestling place, usu. a wrestling floor with adjacent changing rooms, etc."
PALAM/1,"25_8, 61_203",openly
PALATVM,55_21,"roof of the mouth, palate; by metonymy, the mouth (as the organ of speech)"
PALIMPSESTVS,22_5,"a palimpsest, papyrus recycled by erasure to make a low–cost writing material"
PALLIDVLVS,65_6,pale (dim. of pallidus)
PALLIDVS,81_4,pale
PALLIVM,"25_6, 32_11","a rectangular cloth worn as an outer garment, Gk. himation"
PALMA,"62_11, 64_7, 64_261, 64_351",the front of the hand; the palm or palm leaf; the palm of victory; an oar
PALMVLA,"4_4, 4_17",the palm of the hand; oar; palm tree or leaf
PALVS/2,"17_4, 17_10, 68_110, 115_5",swamp
PANDO/2,"6_13, 61_76, 64_325","spread out, disclose, reveal; open"
PANGO,"62_28, 62_28","fix in place, settle, arrange"
PANIS,59_4,bread
PAPAVER,61_195,poppy
PAPILLA,"55_12, 61_105, 64_65, 66_81",nipple; breast
PAPYRVS,35_2,an Egyptian reed used in making paper; paper made from the papyris reed
PAR/2,"28_11, 51_1, 57_3, 61_38, 62_9, 62_57, 66_42, 111_3","equal, comparable; fitting"
PARATVS/2,"11_14, 15_12, 45_4, 62_11, 76_5","ready, prepared"
PARCA/N,"64_306, 64_383, 68_85",a Roman goddess of birth; one of the Fates or Moirai
