TITLE,PRINCIPAL_PARTS,PRINCIPAL_PARTS_NO_DIACRITICALS,SIMPLE_LEMMA,SHORT_DEFINITION,LONG_DEFINITION,PART_OF_SPEECH,LOGEION_LINK,ROW_FILTERS,CONJUNCTION,DECLENSION,PROPER,REGULAR,STOPWORD
ΚΡΑΙΝΩ,κραίνω κρανῶ ἔκρανα ––– ––– ἐκράνθην,κραινω κρανω εκρανα ––– ––– εκρανθην,κραινω,"to accomplish, fulfil, bring to pass","to accomplish, fulfil, bring to pass",Verb,http://logeion.uchicago.edu/index.html#κραίνω,,,,,,
ΚΡΑΙΠΝΟΣ,κραιπνός –ή –όν,κραιπνος –η –ον,κραιπνος,"rapid, rushing","rapid, rushing",Adjective,http://logeion.uchicago.edu/index.html#κραιπνός,,,1,,,
ΚΡΑΙΠΝΟΣΥΤΟΣ,κραιπνόσυτος –ον,κραιπνοσυτος -ον,κραιπνοσυτος,swift-rushing,swift-rushing,Adjective,http://logeion.uchicago.edu/index.html#κραιπνόσυτος,,,1,,,
ΚΡΑΙΠΝΟΦΟΡΟΣ,κραιπνοφόρος –ον,κραιπνοφορος -ον,κραιπνοφορος,swift-bearing,swift-bearing,Adjective,http://logeion.uchicago.edu/index.html#κραιπνοφόρος,,,1,,,
ΚΡΑΝΑΟΣ,κραναός –ή –όν,κραναος –η –ον,κραναος,"rocky, rugged","rocky, rugged",Adjective,http://logeion.uchicago.edu/index.html#κραναός,,,1,,,
ΚΡΑΝΕΙΑ,κράνεια –ας ἡ,κρανεια –ας η,κρανεια,"the cornel-tree, dog-wood","the cornel-tree, dog-wood",Noun,http://logeion.uchicago.edu/index.html#κράνεια,,,1,,,
ΚΡΑΝΙΟΝ/2,κρανίον –ου τό,κρανιον –ου το,κρανιον,"the upper part of the head, the skull","the upper part of the head, the skull",Noun,http://logeion.uchicago.edu/index.html#κρανίον,,,2,,,
ΚΡΑΝΟΣ,κράνος –εος τό,κρανος –εος το,κρανος,a helmet,a helmet,Noun,http://logeion.uchicago.edu/index.html#κράνος,,,3,,,
ΚΡΑΣ/2,κράς –ατός τό,κρας –ατος το,κρας,the head,the head,Noun,http://logeion.uchicago.edu/index.html#κράς,,,3,,,
ΚΡΑΣΙΣ,κρᾶσις –εως ἡ,κρασις -εως η,κρασις,"a mixing, blending, compounding","a mixing, blending, compounding",Noun,http://logeion.uchicago.edu/index.html#κρᾶσις,,,3,,,
ΚΡΑΤΑΙΓΥΑΛΟΣ,κραταιγύαλος –ον,κραταιγυαλος –ον,κραταιγυαλος,with strong plates,with strong plates,Adjective,http://logeion.uchicago.edu/index.html#κραταιγύαλος,,,1,,,
ΚΡΑΤΑΙΙΣ,κραταιίς –ίδος ἡ,κραταιις –ιδος η,κραταιις,mighty force,mighty force,Noun,http://logeion.uchicago.edu/index.html#κραταιίς,,,3,,,
ΚΡΑΤΑΙΙΣ/2,Κράταιις –ίδος ἡ,Κραταιις –ιδος η,Κραταιις,"Mighty one, name of the mother of Scylla","Mighty one, name of the mother of Scylla",Noun,http://logeion.uchicago.edu/index.html#Κράταιις,,,3,T,,
ΚΡΑΤΑΙΟΣ,κραταιός –ά –όν,κραταιος -α -ον,κραταιος,"strong, mighty, resistless","strong, mighty, resistless",Adjective,http://logeion.uchicago.edu/index.html#κραταιός,,,1,,,
ΚΡΑΤΑΙΠΕΔΟΣ,κραταίπεδος –ον,κραταιπεδος –ον,κραταιπεδος,with hard ground,with hard ground,Adjective,http://logeion.uchicago.edu/index.html#κραταίπεδος,,,1,,,
ΚΡΑΤΑΙΡΙΝΟΣ,κραταίρινος –ον,κραταιρινος –ον,κραταιρινος,hard-shelled,hard-shelled,Adjective,http://logeion.uchicago.edu/index.html#κραταίρινος,,,1,,,
ΚΡΑΤΕΡΟΣ,κρατερός –ά –όν,κρατερος –α –ον,κρατερος,"strong, powerful, mighty","strong, stout, mighty",Adjective,http://logeion.uchicago.edu/index.html#κρατερός,,,1,,,
ΚΡΑΤΕΡΟΦΡΩΝ,κρατερόφρων –ον,κρατεροφρων –ον,κρατεροφρων,"stout-hearted, dauntless","stout-hearted, dauntless",Adjective,http://logeion.uchicago.edu/index.html#κρατερόφρων,,,3,,,
ΚΡΑΤΕΡΩΝΥΞ,κρατερῶνυξ –υχος,κρατερωνυξ –υχος,κρατερωνυξ,"strong-hoofed, solid-hoofed","strong-hoofed, solid-hoofed",Adjective,http://logeion.uchicago.edu/index.html#κρατερῶνυξ,,,3,,,
ΚΡΑΤΕΥΤΑΙ,κρατευταί –ῶν οἱ,κρατευται –ων οι,κρατευται,the forked stand,the forked stand,Noun,http://logeion.uchicago.edu/index.html#κρατευταί,,,1,,,
ΚΡΑΤΕΩ,κρατέω κραήσω ἐκράτησα κεκράτηκα κεκράτημαι ἐκρατήθην,κρατεω κραησω εκρατησα κεκρατηκα κεκρατημαι εκρατηθην,κρατεω,"be strong, rule, prevail against","to be strong, mighty, powerful",Verb,http://logeion.uchicago.edu/index.html#κρατέω,,,,,,
ΚΡΑΤΗΡ,κρατήρ (Ion. κρητήρ) –ῆρος ὁ,κρατηρ (Ion. κρητηρ) –ηρος ο,κρατηρ,a mixing vessel,a mixing vessel,Noun,http://logeion.uchicago.edu/index.html#κρατήρ,,,3,,,
ΚΡΑΤΙΣΤΟΣ,κράτιστος –η –ον,κρατιστος –η –ον,κρατιστος,"strongest, best","strongest, mightiest",Adjective,http://logeion.uchicago.edu/index.html#κράτιστος,,,1,,,
ΚΡΑΤΟΣ,κράτος –ους τό,κρατος –ους το,κρατος,"might, power","strength, might",Noun,http://logeion.uchicago.edu/index.html#κράτος,,,3,,,
ΚΡΑΤΥΝΩ,κρατύνω κρατυνῶ  ἐκράτυνα ––– ––– ἐκρατύνθην,κρατυνω κρατυνω  εκρατυνα ––– ––– εκρατυνθην,κρατυνω,to strengthen,to strengthen,Verb,http://logeion.uchicago.edu/index.html#κρατύνω,,,,,,
ΚΡΑΤΥΣ,κρατύς –ύος,κρατυς –υος,κρατυς,"strong, mighty","strong, mighty",Adjective,http://logeion.uchicago.edu/index.html#κρατύς,,,3,,,
ΚΡΑΥΓΑΖΩ,κραυγάζω κραυγάσω,κραυγαζω κραυγασω,κραυγαζω,to bay,to bay,Verb,http://logeion.uchicago.edu/index.html#κραυγάζω,,,,,,
ΚΡΕΑ,κρέα κρεῶν τά,κρεα κρεων τα,κρεα,sheep,sheep,Noun,http://logeion.uchicago.edu/index.html#κρέα,,,3,,,
ΚΡΕΑΣ,κρέας –ως τό,κρέας –ως το,κρέας,"meat, piece of meat","flesh, meat, a piece of meat",Noun,http://logeion.uchicago.edu/index.html#κρέας,,,3,,,
ΚΡΕΙΟΝ,κρεῖον –ου τό,κρειον –ου το,κρειον,"a meat-tray, dresser","a meat-tray, dresser",Noun,http://logeion.uchicago.edu/index.html#κρεῖον,,,2,,,
ΚΡΕΙΟΝΤΙΑΔΗΣ,Κρειοντιάδης –ου ὁ,Κρειοντιαδης –ου ο,Κρειοντιαδης,son of Creon,son of Creon,Noun,http://logeion.uchicago.edu/index.html#Κρειοντιάδης,,,1,T,,
ΚΡΕΙΣΣΩΝ,κρείσσων –ον,κρεισσων –ον,κρεισσων,"stronger, better, braver","stronger, mightier, more powerful",Adjective,http://logeion.uchicago.edu/index.html#κρείσσων,,,3,,,
ΚΡΕΙΩΝ,κρείων –οντος ὁ,κρειων –οντος ο,κρειων,"ruling, ruler","a ruler, lord, master",Adjective,http://logeion.uchicago.edu/index.html#κρείων,,,3,,,
ΚΡΕΙΩΝ/2,Κρείων –οντος ὁ,Κρειων –οντος ο,Κρειων,"Creon, a king of Thebes, the father of Megara, or, father of Lycomēdes","Creon, a king of Thebes, the father of Megara, or, father of Lycomēdes",Noun,http://logeion.uchicago.edu/index.html#Κρείων,,,3,T,,
ΚΡΕΜΑΝΝΥΜΙ,κρεμαννύω/κρεμάννυμι κρεμάσω ἐκρέμασα κεκρέμακα κρέμαμαι ἐκρεμάσθην,κρεμαννυω/κρεμαννυμι κρεμασω εκρεμασα κεκρεμακα κρέμαμαι εκρεμασθην,κρεμαννυω,"to hang, hang up","to hang, hang up",Verb,http://logeion.uchicago.edu/index.html#κρεμάννυμι,,,,,,
ΚΡΕΜΑΣΤΟΣ,κρεμαστός –ή –ον,κρεμαστος –η –ον,κρεμαστος,"hung, hung up, hanging","hung, hung up, hanging",Adjective,http://logeion.uchicago.edu/index.html#κρεμαστός,,,1,,,
ΚΡΕΟΝΤΕΙΟΣ,Κρεόντειος –α –ον,Κρεοντειος –α –ον,Κρεοντειος,of Creon,of Creon,Adjective,http://logeion.uchicago.edu/index.html#Κρεόντειος,,,1,T,,
ΚΡΕΩΝ,Κρέων –οντος  ὁ,Κρεων –οντος  ο,Κρεων,Creon,Creon,Noun,http://logeion.uchicago.edu/index.html#Κρέων,,,3,T,,
ΚΡΗΓΥΟΣ,κρήγυος –ον,κρηγυος –ον,κρηγυος,"good, agreeable","good, agreeable",Adjective,http://logeion.uchicago.edu/index.html#κρήγυος,,,1,,,
ΚΡΗΔΕΜΝΟΝ,κρήδεμνον –ου τό,κρηδεμνον –ου το,κρηδεμνον,a veil,a veil,Noun,http://logeion.uchicago.edu/index.html#κρήδεμνον,,,2,,,
ΚΡΗΘΕΥΣ,Κρηθεύς –έως ὁ,Κρηθευς –εως ο,Κρηθευς,"Cretheus, of Iolcus, the husband of Tyro","Cretheus, of Iolcus, the husband of Tyro",Noun,http://logeion.uchicago.edu/index.html#Κρηθεύς,,,3,T,,
ΚΡΗΘΩΝ,Κρήθων –ωνος ὁ,Κρηθων –ωνος ο,Κρηθων,Crethon,Crethon,Noun,http://logeion.uchicago.edu/index.html#Κρήθων,,,3,T,,
ΚΡΗΜΝΟΣ,κρημνός –οῦ ὁ (pl. κρημνά τά),κρημνος –ου ο (pl. κρημνα τα),κρημνος,an overhanging bank,an overhanging bank,Noun,http://logeion.uchicago.edu/index.html#κρημνός,,,2,,,
ΚΡΗΝΑΙΟΣ,κρηναῖος –α –ον,κρηναιος –α –ον,κρηναιος,"of, from a spring","of, from a spring",Adjective,http://logeion.uchicago.edu/index.html#κρηναῖος,,,1,,,
ΚΡΗΝΗ,κρήνη –ης ἡ,κρηνη –ης η,κρηνη,"a well, spring, fountain","a well, spring, fountain",Noun,http://logeion.uchicago.edu/index.html#κρήνη,,,1,,,
ΚΡΗΝΗΝΔΕ,κρήνηνδε,κρηνηνδε,κρηνηνδε,to a well,to a well,Adverb,http://logeion.uchicago.edu/index.html#κρήνηνδε,,,,,,
ΚΡΗΠΙΣ,κρηπίς –ῖδος ἡ,κρηπις –ιδος η,κρηπις,a half-boot,a half-boot,Noun,http://logeion.uchicago.edu/index.html#κρηπίς,,,3,,,
ΚΡΗΣ,Κρής –οῦ ὁ,Κρης –ου ο,Κρης,a Cretan,a Cretan,Noun,http://logeion.uchicago.edu/index.html#Κρής,,,1,T,,
ΚΡΗΣΤΩΝΙΗΤΑΙ,Κρηστωνιῆται οἱ,Κρηστωνιηται οι,Κρηστωνιηται,the people of Creston,the people of Creston,Noun,http://logeion.uchicago.edu/index.html#Κρηστωνιῆται,,,1,T,,
ΚΡΗΣΤΩΝΟΣ,Κρηστὼν,Κρηστων,Κρηστων,Creston,Creston,Noun,http://logeion.uchicago.edu/index.html#Κρηστὼν,,,3,T,,
ΚΡΗΤΑΙΟΣ,Κρηταῖος –ά –όν,Κρηταιος –α –ον,Κρηταιος, Cretan,Cretan,Adjective,http://logeion.uchicago.edu/index.html#Κρηταιος,,,1,T,,
ΚΡΗΤΗ,κρήτη –ης ἡ,κρητη –ης η,κρητη,chalk,chalk,Noun,http://logeion.uchicago.edu/index.html#κρήτη,,,1,,,
ΚΡΗΤΗ/2,Κρήτη –ης ἡ,Κρητη –ης η,Κρητη,Crete,Crete,Noun,http://logeion.uchicago.edu/index.html#Κρήτη,,,1,T,,
ΚΡΗΤΗΘΕΝ,Κρήτηθεν,Κρητηθεν,Κρητηθεν,from Crete,from Crete,Adverb,http://logeion.uchicago.edu/index.html#Κρήτηθεν,,,,T,,
ΚΡΗΤΗΝΔΕ,Κρήτηνδε,Κρητηνδε,Κρητηνδε,to Crete,to Crete,Adverb,http://logeion.uchicago.edu/index.html#Κρήτηνδε,,,,T,,
ΚΡΗΤΗΡΗΡΟΣ,κρήτηρ –ῆρος ὁ,κρητηρ –ηρος ὁ,κρητηρ,"mixing bowl, krater",but yet,Noun,http://logeion.uchicago.edu/index.html#κρήτηρ,,,3,,,
ΚΡΗΤΙΚΟΣ,Κρητικός –ή –όν,Κρητικος –η –ον,Κρητικος,"of Crete, Cretan","of Crete, Cretan",Adjective,http://logeion.uchicago.edu/index.html#Κρητικός,,,1,T,,
ΚΡΙ,κρῖ τό,κρι το,κρι,barley,barley,Noun,http://logeion.uchicago.edu/index.html#κρῖ,,,99,,,
ΚΡΙΖΩ,κρίζω,κριζω,κριζω,to creak,to creak,Verb,http://logeion.uchicago.edu/index.html#κρίζω,,,,,,
ΚΡΙΘΗ,κριθή –ῆς ἡ,κριθη –ης η,κριθη,"barley-corns, barley","barley-corns, barley",Noun,http://logeion.uchicago.edu/index.html#κριθή,,,1,,,
ΚΡΙΚΟΣ,κρίκος –ου ὁ,κρικος –ου ο,κρικος,a ring,a ring,Noun,http://logeion.uchicago.edu/index.html#κρίκος,,,2,,,
ΚΡΙΝΟΝ,κρίνον –ου τό,κρινον –ου το,κρινον,a lily,a lily,Noun,http://logeion.uchicago.edu/index.html#κρίνον,,,2,,,
ΚΡΙΝΩ,κρίνω κρινῶ ἔκρινα κέκρικα κέκριμαι ἐκρίθην,κρινω κρινω εκρινα κεκρικα κεκριμαι εκριθην,κρινω,judge,"to pick out, choose",Verb,http://logeion.uchicago.edu/index.html#κρίνω,,,,,,
ΚΡΙΟΣ,κριός –οῦ ὁ,κριος –ου ο,κριος,a ram,a ram,Noun,http://logeion.uchicago.edu/index.html#κριός,,,2,,,
ΚΡΙΣΑ,Κρῖσα –ης ἡ,Κρισα –ης η,Κρισα,Crisa,Crisa,Noun,http://logeion.uchicago.edu/index.html#Κρῖσα,,,1,T,,
ΚΡΙΣΑΙΟΣ,Κρισαῖος –α –ον,Κρισαιος,Κρισαιος,of Crisa,of Crisa,Adjective,http://logeion.uchicago.edu/index.html#Κρισαῖος,,,1,T,,
ΚΡΙΣΙΣ,κρίσις –εως ἡ,κρισις –εως η,κρισις,"a separating, decision","a separating, power of distinguishing",Noun,http://logeion.uchicago.edu/index.html#κρίσις,,,3,,,
ΚΡΙΤΗΣ,κριτής –ου ὁ,κριτης –ου ο,κριτης,judge,"a decider, judge, umpire",Noun,http://logeion.uchicago.edu/index.html#κριτής,,,1,T,,
ΚΡΙΤΟΔΗΜΟΣ,Κριτόδημος –ου ὁ,Κριτοδημος,Κριτοδημος,Critodemus ,Critodemus (male name),Noun,http://logeion.uchicago.edu/index.html#Κριτοδημος,,,2,T,,
ΚΡΙΤΟΣ,κριτός –ή –όν,κριτος –η –ον,κριτος,"picked out, chosen","picked out, chosen",Adjective,http://logeion.uchicago.edu/index.html#κριτός,,,1,,,
ΚΡΟΑΙΝΩ,κροαίνω,κροαινω,κροαινω,"to stamp, strike with the hoof","to stamp, strike with the hoof",Verb,http://logeion.uchicago.edu/index.html#κροαίνω,,,,,,
ΚΡΟΙΣΜΟΣ,Κροῖσμος –ου ὁ,Κροισμος –ου ο,Κροισμος,Croesmus,Croesmus,Noun,http://logeion.uchicago.edu/index.html#Κροῖσμος,,,2,T,,
ΚΡΟΙΣΟΣ,Κροῖσος ὁ,Κροισος ὁ,Κροισος,"Croesus, King of the Lydians",Croesus,Noun,http://logeion.uchicago.edu/index.html#Κροῖσος,,,2,T,,
ΚΡΟΚΗΙΟΣ,κροκήϊος –η –ον,κροκηϊος –η –ον,κροκηϊος,of saffron,of saffron,Adjective,http://logeion.uchicago.edu/index.html#κροκήϊος,,,1,,,
ΚΡΟΚΟΔΕΙΛΟΣ,κροκόδειλος –ου ὁ,κροκοδειλος –ου ο,κροκοδειλος,a lizard (see -διλος),a lizard (see -διλος),Noun,http://logeion.uchicago.edu/index.html#κροκόδειλος,,,2,,,
ΚΡΟΚΟΠΕΠΛΟΣ,κροκόπεπλος –ον,κροκοπεπλος –ον,κροκοπεπλος,with yellow veil,with yellow veil,Adjective,http://logeion.uchicago.edu/index.html#κροκόπεπλος,,,1,,,
ΚΡΟΚΟΣ,κρόκος –ου ὁ,κροκος –ου ο,κροκος,the crocus,the crocus,Noun,http://logeion.uchicago.edu/index.html#κρόκος,,,2,,,
ΚΡΟΚΥΛΕΙΑ,Κροκύλεια –ας ἡ,Κροκυλεια –ας η,Κροκυλεια,Crocyleia,Crocyleia,Noun,http://logeion.uchicago.edu/index.html#Κροκύλεια,,,1,T,,
ΚΡΟΜΜΥΟΝ,κρόμμυον –ου τό,κρομμυον –ου το,κρομμυον,an onion,an onion,Noun,http://logeion.uchicago.edu/index.html#κρόμμυον,,,2,,,
ΚΡΟΝΙΔΗΣ,Κρονίδης –ου ὁ,Κρονιδης –ου ο,Κρονιδης,son of Cronus,son of Cronus,Noun,http://logeion.uchicago.edu/index.html#Κρονίδης,,,1,T,,
ΚΡΟΝΙΟΣ,Κρόνιος –α –ον,Κρονιος -α -ον,Κρονιος,"Saturnian, of Cronus","Saturnian, of Cronus",Adjective,http://logeion.uchicago.edu/index.html#Κρόνιος,,,1,T,,
ΚΡΟΝΙΩΝ,Κρονίων –ωνος ὁ,Κρονιων –ωνος ο,Κρονιων,son of Cronus,son of Cronus,Noun,http://logeion.uchicago.edu/index.html#Κρονίων,,,3,T,,
ΚΡΟΝΟΣ,Κρόνος –ου ὁ,Κρονος -ου ο,Κρονος,Cronus,Cronus,Noun,http://logeion.uchicago.edu/index.html#Κρόνος,,,2,T,,
ΚΡΟΣΣΑΙ,κρόσσαι –ῶν αἱ,κροσσαι –ων αι,κροσσαι,battlements,battlements,Noun,http://logeion.uchicago.edu/index.html#κρόσσαι,,,1,,,
ΚΡΟΤΑΛΙΖΩ,κροταλίζω,κροταλιζω,κροταλιζω,to use rattles,to use rattles,Verb,http://logeion.uchicago.edu/index.html#κροταλίζω,,,,,,
ΚΡΟΤΑΦΟΣ,κρόταφος –ου ὁ,κροταφος -ου ο,κροταφος,the side of the forehead,the side of the forehead,Noun,http://logeion.uchicago.edu/index.html#κρόταφος,,,2,,,
ΚΡΟΤΕΩ,κροτέω κροτήσω ἐκρότησα κεκρότηκα κεκρότημαι ἐκροτήθην,κροτεω κροτήσω εκροτησα κεκροτηκα κεκροτημαι εκροτήθην,κροτεω,to make to rattle,to make to rattle,Verb,http://logeion.uchicago.edu/index.html#κροτέω,,,,,,
ΚΡΟΥΝΟΙ,Κρουνοί –ῶν οἱ,Κρουνοι –ων οι,Κρουνοι,"Cruni (Springs), a place in Elis","Cruni (Springs), a place in Elis",Noun,http://logeion.uchicago.edu/index.html#Κρουνοί,,,2,T,,
ΚΡΟΥΝΟΣ,κρουνός –οῦ ὁ,κρουνος –ου ο,κρουνος,"a spring, well-head","a spring, well-head",Noun,http://logeion.uchicago.edu/index.html#κρουνός,,,2,,,
ΚΡΟΥΩ,κρούω κρούσω ἔκρουσα κέκρουκα κέκρου(σ)μαι ἐκρούσθην,κρουω,κρουω,"to strike, smite: to strike","to strike, smite: to strike",Verb,http://logeion.uchicago.edu/index.html#κρούω,,,,,,
ΚΡΥΒΔΑ,κρύβδα,κρυβδα,κρυβδα,without the knowledge of,without the knowledge of,Adverb,http://logeion.uchicago.edu/index.html#κρύβδα,,,,,,
ΚΡΥΒΔΗΝ,κρύβδην,κρυβδην,κρυβδην,secretly,secretly,Adverb,http://logeion.uchicago.edu/index.html#κρύβδην,,,,,,
ΚΡΥΕΡΟΣ,κρυερός –ά –όν,κρυερος –α –ον,κρυερος,"icy, chilling","icy, chilling",Adjective,http://logeion.uchicago.edu/index.html#κρυερός,,,1,,,
ΚΡΥΟΕΙΣ,κρυόεις –εσσα –εν,κρυοεις –εσσα –εν,κρυοεις,chilling,chilling,Adjective,http://logeion.uchicago.edu/index.html#κρυόεις,,,2,,,
ΚΡΥΠΤΑΔΙΟΣ,κρυπτάδιος [–α] –ον,κρυπταδιος [–α] –ον,κρυπταδιος,"secret, clandestine","secret, clandestine",Adjective,http://logeion.uchicago.edu/index.html#κρυπτάδιος,,,1,,,
ΚΡΥΠΤΟΣ,κρυπτός –ή –όν,κρυπτος –η –ον,κρυπτος,"hidden, secret","hidden, secret",Adjective,http://logeion.uchicago.edu/index.html#κρυπτός,,,1,,,
ΚΡΥΠΤΩ,κρύπτω κρύψω ἔκρυψα κέκρυμμαι ἐκρύφθην,κρυπτω κρυψω εκρυψα κεκρυμμαι εκρυφθην,κρυπτω,"hide, cover over","to hide, cover, cloak",Verb,http://logeion.uchicago.edu/index.html#κρύπτω,,,,,,
ΚΡΥΣΤΑΛΛΟΣ,κρύσταλλος –ου ὁ,κρυσταλλος –ου ο,κρυσταλλος,"clear ice, ice","clear ice, ice",Noun,http://logeion.uchicago.edu/index.html#κρύσταλλος,,,2,,,
ΚΡΥΦΑ,κρύφα,κρυφα,κρυφα,in secret; without the knowledge of,in secret; without the knowledge of,Adverb  Preposition,http://logeion.uchicago.edu/index.html#κρύφα,,,,,,
ΚΡΥΦΑΙΟΣ,κρυφαῖος [–α] –ον,κρυφαιος [–α] –ον,κρυφαιος,hidden,hidden,Adjective,http://logeion.uchicago.edu/index.html#κρυφαῖος,,,1,,,
ΚΡΥΦΗΔΟΝ,κρυφηδόν,κρυφηδον,κρυφηδον,secretly,secretly,Adverb,http://logeion.uchicago.edu/index.html#κρυφηδον,,,,,,
ΚΡΥΦΗΙ,κρυφῇ,κρυφῌ,κρυφῌ,"secretly, in secret","secretly, in secret",Adverb,http://logeion.uchicago.edu/index.html#κρυφῇ,,,,,,
ΚΡΩΒΥΛΟΣ,κρωβύλος –ου ὁ,κρωβυλος,κρωβυλος,roll or knot of hair on the crown of the head,roll or knot of hair on the crown of the head,Noun,http://logeion.uchicago.edu/index.html#κρωβύλος,,,2,,,
ΚΡΩΜΝΑ,Κρῶμνα –ης ἡ,Κρωμνα –ης η,Κρωμνα,Cromna,Cromna,Noun,http://logeion.uchicago.edu/index.html#Κρῶμνα,,,1,T,,
ΚΤΑΟΜΑΙ,κτάομαι κτήσομαι ἐκτησάμην κέκτημαι έκτήθην,κταομαι κτησομαι εκτησαμην κεκτημαι εκτηθην,κταομαι,"get, acquire; incur","to procure for oneself, to get, gain, acquire",Verb,http://logeion.uchicago.edu/index.html#κτάομαι,,,,,,
ΚΤΕΑΝΟΝ,κτέανον –ου or κτέαρ –ατος τό,κτεανον –ου or κτεαρ –ατος το,κτεανον,"possessions, property","possessions, property",Noun,http://logeion.uchicago.edu/index.html#κτέανον,,,"2,3",,,
ΚΤΕΑΤΙΖΩ,κτεατίζω κτεατίσσω κτεάτισσα,κτεατιζω κτεατισσω κτεατισσα,κτεατιζω,"to get, gain, win","to get, gain, win",Verb,http://logeion.uchicago.edu/index.html#κτεατίζω,,,,,,
ΚΤΕΑΤΟΣ,Κτέατος –ου ὁ,Κτεατος –ου ο,Κτεατος,Cteatus,Cteatus,Noun,http://logeion.uchicago.edu/index.html#Κτέατος,,,2,T,,
ΚΤΕΙΝΩ,κτείνω κτενῶ ἔκτεινα ἀπέκτονα ––– –––,κτεινω κτενω εκτεινα απεκτονα ––– –––,κτεινω,kill,"to kill, slay",Verb,http://logeion.uchicago.edu/index.html#κτείνω,,,,,,
ΚΤΕΟΜΑΙ,κτέομαι (or κτῶμαι) ἐκτησάμην κέκτημαι,κτεομαι (or κτωμαι) εκτησαμην κεκτημαι,κτεομαι,"procure, possess","procure, possess",Verb,http://logeion.uchicago.edu/index.html#κτέομαι,,,,,,
ΚΤΕΡΑΣ,κτέρας τό,κτερας το,κτερας,a possession,a possession,Noun,http://logeion.uchicago.edu/index.html#κτέρας,,,99,,,
ΚΤΕΡΕΑ,κτέρεα –ων τά,κτερεα –ων τα,κτερεα,funeral gifts,funeral gifts,Noun,http://logeion.uchicago.edu/index.html#κτέρεα,,,2,,,
ΚΤΕΡΕΙΖΩ,κτερεΐζω κτερεΐξω κτερέιξα,κτερειζω κτερειξω κτερειξα,κτερειζω,bury with due honours,bury with due honours,Verb,http://logeion.uchicago.edu/index.html#κτερεΐζω,,,,,,
ΚΤΕΡΙΖΩ,κτερίζω κτεριῶ ἐκτέρισα ––– ––– –––,κτεριζω κτεριω εκτερισα ––– ––– –––,κτεριζω,bury with solemn honors,bury with solemn honors,Verb,http://logeion.uchicago.edu/index.html#κτερίζω,,,,,,
ΚΤΗΜΑ,κτῆμα –ατος τό,κτημα –ατος το,κτημα,possession,"anything gotten, a piece of property, a possession",Noun,http://logeion.uchicago.edu/index.html#κτῆμα,,,3,,,
ΚΤΗΝΟΣ,κτῆνος –εος τό,κτηνος –εος το,κτηνος,flocks and herds,flocks and herds,Noun,http://logeion.uchicago.edu/index.html#κτῆνος,,,3,,,
ΚΤΗΣΙΟΣ,κτήσιος –α –ον,κτησιος –α –ον,κτησιος,belonging to property,belonging to property,Adjective,http://logeion.uchicago.edu/index.html#κτήσιος,,,1,,,
ΚΤΗΣΙΠΠΟΣ ,Κτήσιππος –ου ὁ,Κτησιππος ,Κτησιππος,Ctesippus ,Ctesippus ,Noun,http://logeion.uchicago.edu/index.html#Κτήσιππος,,,"2,3",T,,
ΚΤΗΣΙΠΠΟΣ/2,Κτήσιππος –ου ὁ,Κτησιππος –ου ο,Κτησιππος,Ctesippus,"Ctesippus, son of Polytherses, from Same, one of the suitors of Penelope, slain by Philoetius",Noun,http://logeion.uchicago.edu/index.html#Κτήσιππος,,,2,T,,
ΚΤΗΣΙΣ,κτῆσις –εως ἡ,κτησις –εως η,κτησις,acquisition,acquisition,Noun,http://logeion.uchicago.edu/index.html#κτῆσις,,,3,,,
ΚΤΗΣΩΝ,Κτήσων –ωνος ὁ,Κτησων  ,Κτησων,Cteso,Cteso,Noun,http://logeion.uchicago.edu/index.html#Κτησων,,,3,T,,
ΚΤΗΤΟΣ,κτητός –ή –όν,κτητος –η –ον,κτητος,that may be gotten,that may be gotten,Adjective,http://logeion.uchicago.edu/index.html#κτητός,,,1,,,
ΚΤΙΔΕΟΣ,κτίδεος –α –ον,κτιδεος –α –ον,κτιδεος,of a marten-cat,of a marten-cat,Adjective,http://logeion.uchicago.edu/index.html#κτίδεος,,,1,,,
ΚΤΙΖΩ,κτίζω κτίσω ἔκτισα ––– ἔκτισμαι ἐκτίσθην,κτιζω κτισω εκτισα ––– εκτισμαι εκτισθην,κτιζω,"build, found, create",to found,Verb,http://logeion.uchicago.edu/index.html#κτίζω,,,,,,
ΚΤΙΛΟΣ,κτίλος –ον,κτιλος –ον,κτιλος,"tame, docile, gentle","tame, docile, gentle",Adjective,http://logeion.uchicago.edu/index.html#κτίλος,,,1,,,
ΚΤΙΜΕΝΗ,Κτιμένη –ης ἡ,Κτιμενη –ης η,Κτιμενη,"Ctimene, daughter of Laertes, sister of Odysseus, settled in marriage in Same","Ctimene, daughter of Laertes, sister of Odysseus, settled in marriage in Same",Noun,http://logeion.uchicago.edu/index.html#Κτιμένη,,,1,T,,
ΚΤΙΣΙΣ,κτίσις –εως ἡ,κτισις,κτισις,"a founding, foundation","a founding, foundation",Noun,http://logeion.uchicago.edu/index.html#κτίσις,,,3,,,
ΚΤΥΠΕΩ,κτυπέω κτυπήσω ἐκτύπησα/ἔκτυπον – – ἐκτυπήθην,κτυπεω κτυπήσω εκτύπησα/εκτυπον – – εκτυπήθην,κτυπεω,to crash,to crash,Verb,http://logeion.uchicago.edu/index.html#κτυπέω,,,,,,
